model/parameters,rollout/ep_rew_mean,model/extractor_type,time/iterations,time/total_timesteps,rollout/ep_len_mean,rollout/success_rate,time/fps,time/time_elapsed,eval/mean_ep_length,train/clip_range,train/std,train/policy_gradient_loss,eval/mean_reward,train/value_loss,eval/success_rate,train/learning_rate,train/clip_fraction,train/approx_kl,train/explained_variance,train/n_updates,train/entropy_loss,train/loss
879821,-257.73809814453125,"LSTMFeatureExtractor",1,8192,353.11764705882354,0.0,865,9,,,,,,,,,,,,,,
,,,,10000,,,,,235.8,0.191808,0.740818202495575,-0.0005349438482274612,-257.274169921875,0.0888763191178441,0.0,9.22176e-05,0.0008138020833333334,0.00088874466,-0.0245896577835083,3,-4.256816387176514,-0.008157383650541306
,-276.1546630859375,,2,16384,361.4878048780488,0.0,749,21,,,,,,,,,,,,,,
,,,,20000,,,,,115.0,0.183616,0.740818202495575,0.0001738243930352231,-219.61050415039062,0.09699938477327426,0.0,8.44352e-05,0.0011800130208333333,0.0011327069,-0.29405713081359863,6,-4.256816387176514,-0.008213374763727188
,-282.9093933105469,,3,24576,367.4769230769231,0.0,734,33,,,,,,,,,,,,,,
,,,,30000,,,,,177.4,0.17542400000000002,0.740818202495575,0.0003897900654313465,-226.45077514648438,0.10721232354020079,0.0,7.66528e-05,0.0028076171875,0.0011485413,-0.19184565544128418,9,-4.256816387176514,-0.018695810809731483
,-284.3005676269531,,4,32768,370.5925925925926,0.0,724,45,,,,,,,,,,,,,,
,,,,40000,,,,,375.6,0.16723200000000002,0.740818202495575,2.6382767828181386e-05,-300.7022399902344,0.1264891161893805,0.0,6.887040000000001e-05,0.012247721354166666,0.001230718,0.2646055817604065,12,-4.256816387176514,-0.02417030744254589
,-287.22998046875,,5,40960,378.32,0.0,695,58,,,,,,,,,,,,,,
,-286.99359130859375,,6,49152,383.9,0.0,712,68,,0.15904000000000001,0.740818202495575,0.0009736728825373575,,0.1785634527914226,,6.108800000000001e-05,0.039021809895833336,0.0015000846,0.26538699865341187,15,-4.256816387176514,-0.020885378122329712
,,,,50000,,,,,253.8,0.150848,0.740818202495575,0.0031692422344349325,-246.61526489257812,0.2785833866025011,0.0,5.330560000000001e-05,0.09521484375,0.0021166778,0.44890540838241577,18,-4.256816387176514,0.020733386278152466
,-284.09454345703125,,7,57344,388.98,0.0,703,81,,,,,,,,,,,,,,
,,,,60000,,,,,181.2,0.142656,0.740818202495575,0.002774160869497185,-238.98764038085938,0.43347544347246486,0.0,4.5523200000000005e-05,0.1590576171875,0.0020477632,0.6056263446807861,21,-4.256816387176514,0.055396780371665955
,-286.6004638671875,,8,65536,393.23,0.0,701,93,,,,,,,,,,,,,,
,,,,70000,,,,,331.4,0.134464,0.740818202495575,0.004977170669008046,-260.20428466796875,0.6264549593130747,0.0,3.77408e-05,0.21272786458333334,0.0034044208,0.6899697780609131,24,-4.256816387176514,0.1575530469417572
,-282.55084228515625,,9,73728,395.86,0.0,691,106,,,,,,,,,,,,,,
,,,,80000,,,,,256.6,0.126272,0.740818202495575,0.005855388609537234,-257.45928955078125,0.7308953603108724,0.0,2.99584e-05,0.24043782552083334,0.0037154811,0.7791516780853271,27,-4.256816387176514,0.17913399636745453
,-283.69256591796875,,10,81920,393.54,0.0,687,119,,,,,,,,,,,,,,
,,,,90000,,,,,190.2,0.11808,0.740818202495575,0.00718030531425029,-225.69705200195312,1.0554529676834743,0.0,2.2176e-05,0.3082275390625,0.00587421,0.835522472858429,30,-4.256816387176514,0.35403141379356384
,-286.503662109375,,11,90112,392.44,0.0,686,131,,,,,,,,,,,,,,
,-289.03436279296875,,12,98304,390.83,0.0,695,141,,0.109888,0.740818202495575,0.008998103459210446,,1.0396551191806793,,1.4393599999999997e-05,0.3138020833333333,0.00624054,0.855374276638031,33,-4.256816387176514,0.3847411870956421
,,,,100000,,,,,399.0,0.10169600000000001,0.740818202495575,0.011608781991526484,-292.2948303222656,1.3093920747439067,0.0,6.611199999999995e-06,0.3699137369791667,0.006629284,0.8906409740447998,36,-4.256816387176514,0.5011109113693237
,-284.56085205078125,,13,106496,389.95,0.0,685,155,,,,,,,,,,,,,,
