eval/success_rate,model/extractor_type,eval/mean_ep_length,time/total_timesteps,model/parameters,eval/mean_reward,rollout/ep_rew_mean,time/iterations,eval/seq_prediction_mse,time/fps,time/time_elapsed,rollout/success_rate,eval/best_seq_prediction_mse,rollout/ep_len_mean,train/std,train/learning_rate,train/clip_range_vf,train/value_loss,train/n_updates,train/clip_fraction,train/policy_gradient_loss,train/explained_variance,train/approx_kl,train/entropy_loss,train/clip_range,train/loss
0.0,"TransformerFeaturesExtractor",204.3,20000,5865051,-247.75228881835938,,,,,,,,,,,,,,,,,,,,
,,,32768,,,-262.5487365722656,1,1.1128253519535065,834,39,0.0,1.1128253519535065,237.16,,,,,,,,,,,,
0.0,,224.1,40000,,-261.5914001464844,,,,,,,,,0.22313016653060913,9.9377408e-05,0.2,0.7354796510189772,4,0.8651351928710938,0.15099576325155795,0.15742117166519165,0.86712307,-4.256815433502197,0.19934464000000002,0.37339070439338684
0.0,,154.7,60000,,-226.4181671142578,,,0.9924488246440888,,,,0.9924488246440888,,,,,,,,,,,,,
,,,65536,,,-268.2196044921875,2,1.025433737039566,633,103,0.01,,246.17,,,,,,,,,,,,
0.0,,281.8,80000,,-283.2503662109375,,,,,,,,,0.22313016653060913,9.8754816e-05,0.2,0.09166794619522989,8,0.8014373779296875,0.1631904006935656,0.5110458135604858,0.45843387,-4.256815433502197,0.19868928000000002,0.1612311750650406
,,,98304,,,-273.2624206542969,3,0.9697881817817688,656,149,0.0,0.9697881817817688,271.85,,,,,,,,,,,,
0.0,,128.7,100000,,-225.86685180664062,,,,,,,,,0.22313016653060913,9.8132224e-05,0.2,0.08371915714815259,12,0.6480941772460938,0.08097805688157678,0.2234986424446106,0.12473066,-4.256815433502197,0.19803392,0.07068966329097748
0.0,,221.1,120000,,-250.08053588867188,,,1.009480619430542,,,,,,,,,,,,,,,,,
,,,131072,,,-280.77166748046875,4,1.0961267232894898,609,215,0.0,,291.12,,,,,,,,,,,,
0.0,,272.9,140000,,-257.7716369628906,,,,,,,,,0.22313016653060913,9.750963200000001e-05,0.2,0.08890310302376747,16,0.4533538818359375,0.030851892923237756,0.14843958616256714,0.033274636,-4.256815433502197,0.19737856,0.01389814168214798
0.0,,211.9,160000,,-251.49703979492188,,,1.0141389548778534,,,,,,,,,,,,,,,,,
,,,163840,,,-286.9930725097656,5,1.0188179790973664,577,283,0.01,,314.42,,,,,,,,,,,,
0.0,,330.7,180000,,-282.1962890625,,,,,,,,,0.22313016653060913,9.688704e-05,0.2,0.11649689497426152,20,0.2901763916015625,0.014548343708156608,0.17227566242218018,0.014550729,-4.256815433502197,0.19672320000000001,0.022923428565263748
,,,196608,,,-292.16943359375,6,0.9613154113292695,591,332,0.0,0.9613154113292695,350.68,,,,,,,,,,,,
